sides,radius_m,rotation_deg,scan_origin,route_length_m,measure_count,switch_count,estimated_base_time_s,analytic_max_distance_m,numerical_max_distance_m,coverage_ratio,worst_x,worst_y,achieved_margin_m,valid
6,950.0,22.5,True,5700.0,140,133,1973.0,,1080.6404543172844,0.9882884653173512,1780.0,-240.0,-94.7825899410152,False
6,1000.0,0.0,False,6000.0,120,114,1914.0,1059.3906486164678,1059.390648616468,0.9951267439575555,0.0,-1800.0,-59.39064861646784,False
6,1000.0,0.0,True,6000.0,140,133,2033.0,,1059.390648616468,0.9951267439575555,0.0,-1800.0,-73.53278424019891,False
6,1000.0,7.5,False,6000.0,120,114,1914.0,1059.3906486164678,1053.307468234711,0.9950481430536451,240.0,-1780.0,-59.39064861646784,False
6,1000.0,7.5,True,6000.0,140,133,2033.0,,1053.307468234711,0.9950481430536451,240.0,-1780.0,-67.44960385844183,False
6,1000.0,15.0,False,6000.0,120,114,1914.0,1059.3906486164678,1056.3577263448035,0.9948123403419139,460.0,-1740.0,-59.39064861646784,False
6,1000.0,15.0,True,6000.0,140,133,2033.0,,1056.3577263448035,0.9948123403419139,460.0,-1740.0,-70.49986196853433,False
6,1000.0,22.5,False,6000.0,120,114,1914.0,1059.3906486164678,1053.3074682347112,0.9950481430536451,1780.0,-240.0,-59.39064861646784,False
6,1000.0,22.5,True,6000.0,140,133,2033.0,,1053.3074682347112,0.9950481430536451,1780.0,-240.0,-67.44960385844206,False
7,750.0,0.0,False,4654.953652058023,140,133,1763.9907304116045,1170.4204614853024,1170.4204614853024,0.8998624484181568,-1800.0,0.0,-170.42046148530244,False
7,750.0,0.0,True,4654.953652058023,160,152,1882.9907304116045,,1170.4204614853024,0.8998624484181568,-1800.0,0.0,-184.56259710903328,False
7,750.0,7.5,False,4654.953652058023,140,133,1763.9907304116045,1170.4204614853024,1165.1206003347572,0.8995480448025153,-1780.0,-240.0,-170.42046148530244,False
7,750.0,7.5,True,4654.953652058023,160,152,1882.9907304116045,,1165.1206003347572,0.8995480448025153,-1780.0,-240.0,-179.26273595848807,False
