source_x_m,source_y_m,source_posterior_weight,conditional_detection_probability,bearing_error_deg,second_bearing_deg,polygon_diameter_m,integration_weight
-120.000000,-20.000000,0.014477871685,1.000000000000,0.000000,338.025492009,60.179190396,0.004825957228
-120.000000,-20.000000,0.014477871685,1.000000000000,1.000000,339.025492009,62.110777758,0.004825957228
-100.000000,-20.000000,0.014477871685,1.000000000000,-1.000000,337.702645951,59.577069434,0.004825957228
-100.000000,-20.000000,0.014477871685,1.000000000000,0.000000,338.702645951,61.475903543,0.004825957228
-100.000000,-20.000000,0.014477871685,1.000000000000,1.000000,339.702645951,63.478776070,0.004825957228
-100.000000,0.000000,0.014477871685,1.000000000000,-1.000000,339.407718109,62.876794572,0.004825957228
-100.000000,0.000000,0.014477871685,1.000000000000,0.000000,340.407718109,64.957818012,0.004825957228
-100.000000,0.000000,0.014477871685,1.000000000000,1.000000,341.407718109,67.157090883,0.004825957228
-80.000000,0.000000,0.014477871685,1.000000000000,-1.000000,340.003345845,64.102573265,0.004825957228
-80.000000,0.000000,0.014477871685,1.000000000000,0.000000,341.003345845,66.252938919,0.004825957228
-80.000000,0.000000,0.014477871685,1.000000000000,1.000000,342.003345845,68.527089665,0.004825957228
-60.000000,0.000000,0.014477871685,1.000000000000,-1.000000,340.565051177,65.295765954,0.004825957228
-60.000000,0.000000,0.014477871685,1.000000000000,0.000000,341.565051177,67.514482868,0.004825957228
-60.000000,0.000000,0.014477871685,1.000000000000,1.000000,342.565051177,69.862507822,0.004825957228
-60.000000,20.000000,0.014477871685,1.000000000000,-1.000000,342.217355855,69.030805536,0.004825957228
-60.000000,20.000000,0.014477871685,1.000000000000,0.000000,343.217355855,71.468836892,0.004825957228
-60.000000,20.000000,0.014477871685,1.000000000000,1.000000,344.217355855,74.054328526,0.004825957228
-40.000000,20.000000,0.014333453117,1.000000000000,-1.000000,342.705952543,70.204337361,0.004777817706
-40.000000,20.000000,0.014333453117,1.000000000000,0.000000,343.705952543,72.712928214,0.004777817706
-40.000000,20.000000,0.014333453117,1.000000000000,1.000000,344.705952543,75.374954954,0.004777817706
-20.000000,20.000000,0.013836369146,1.000000000000,-1.000000,343.167613380,71.344176557,0.004612123049
-20.000000,20.000000,0.013836369146,1.000000000000,0.000000,344.167613380,73.922046972,0.004612123049
-20.000000,20.000000,0.013836369146,1.000000000000,1.000000,345.167613380,76.659282817,0.004612123049
-40.000000,40.000000,0.014029631509,1.000000000000,-1.000000,344.343248884,74.390890970,0.004676543836
-40.000000,40.000000,0.014029631509,1.000000000000,0.000000,345.343248884,77.157507249,0.004676543836
-40.000000,40.000000,0.014029631509,1.000000000000,1.000000,346.343248884,80.099948908,0.004676543836
-20.000000,40.000000,0.013537598782,1.000000000000,-1.000000,344.762719534,75.530937435,0.004512532927
-20.000000,40.000000,0.013537598782,1.000000000000,0.000000,345.762719534,78.369499905,0.004512532927
-20.000000,40.000000,0.013537598782,1.000000000000,1.000000,346.762719534,81.390276727,0.004512532927
0.000000,40.000000,0.013042496655,1.000000000000,-1.000000,345.159304508,76.635845989,0.004347498885
0.000000,40.000000,0.013042496655,1.000000000000,0.000000,346.159304508,79.544815530,0.004347498885
0.000000,40.000000,0.013042496655,1.000000000000,1.000000,347.159304508,82.642311596,0.004347498885
20.000000,40.000000,0.012544472718,1.000000000000,-1.000000,345.534791905,77.707037674,0.004181490906
20.000000,40.000000,0.012544472718,1.000000000000,0.000000,346.534791905,80.684899076,0.004181490906
20.000000,40.000000,0.012544472718,1.000000000000,1.000000,347.534791905,83.857519831,0.004181490906
0.000000,60.000000,0.012740527083,1.000000000000,-1.000000,346.735226272,81.304649211,0.004246842361
0.000000,60.000000,0.012740527083,1.000000000000,0.000000,347.735226272,84.518397579,0.004246842361
0.000000,60.000000,0.012740527083,1.000000000000,1.000000,348.735226272,87.948659343,0.004246842361
20.000000,60.000000,0.012247325023,1.000000000000,-1.000000,347.070677823,82.359748111,0.004082441674
20.000000,60.000000,0.012247325023,1.000000000000,0.000000,348.070677823,85.643981642,0.004082441674
20.000000,60.000000,0.012247325023,1.000000000000,1.000000,349.070677823,89.151349870,0.004082441674
40.000000,60.000000,0.011751215040,1.000000000000,-1.000000,347.388513576,83.380604259,0.003917071680
40.000000,60.000000,0.011751215040,1.000000000000,0.000000,348.388513576,86.733592842,0.003917071680
40.000000,60.000000,0.011751215040,1.000000000000,1.000000,349.388513576,90.316227295,0.003917071680
20.000000,80.000000,0.011942330457,1.000000000000,-1.000000,348.624155080,87.556350298,0.003980776819
20.000000,80.000000,0.011942330457,1.000000000000,0.000000,349.624155080,91.196222416,0.003980776819
20.000000,80.000000,0.011942330457,1.000000000000,1.000000,350.624155080,95.093453024,0.003980776819
40.000000,80.000000,0.011450951151,1.000000000000,-1.000000,348.902495616,88.544985463,0.003816983717
40.000000,80.000000,0.011450951151,1.000000000000,0.000000,349.902495616,92.254093407,0.003816983717
40.000000,80.000000,0.011450951151,1.000000000000,1.000000,350.902495616,96.227376349,0.003816983717
60.000000,80.000000,0.010956679805,1.000000000000,-1.000000,349.166436036,89.499676288,0.003652226602
60.000000,80.000000,0.010956679805,1.000000000000,0.000000,350.166436036,93.276115578,0.003652226602
60.000000,80.000000,0.010956679805,1.000000000000,1.000000,351.166436036,97.323405642,0.003652226602
80.000000,80.000000,0.010459646472,1.000000000000,-1.000000,349.417055276,90.422065767,0.003486548824
