phase,x_m,y_m,reachable,detection_probability,geometry_score,passes_coarse_screen,proxy_score,expected_log_diameter_gain,selected,in_excellent_region
coarse,1050.000000,-300.000000,True,0.521203052,0.773877612,False,0.403347374,,False,False
coarse,1200.000000,-300.000000,True,0.365058634,0.778846552,False,0.284324658,,False,False
coarse,1350.000000,-300.000000,True,0.226475184,0.784962769,False,0.177774587,,False,False
coarse,1500.000000,-300.000000,True,0.099151519,0.786276657,False,0.077960525,,False,False
coarse,1650.000000,-300.000000,True,0.016386438,0.798235406,False,0.013080235,,False,False
coarse,-1650.000000,-150.000000,True,0.247176484,0.607979624,False,0.150278266,,False,False
coarse,-1500.000000,-150.000000,True,0.398844230,0.579085974,False,0.230965099,,False,False
coarse,-1350.000000,-150.000000,True,0.574110094,0.549894765,False,0.315700135,,False,False
coarse,-1200.000000,-150.000000,True,0.777879970,0.513090564,False,0.399122872,,False,False
coarse,-1050.000000,-150.000000,True,0.992314566,0.474803150,False,0.471154082,,False,False
coarse,-900.000000,-150.000000,True,1.000000000,0.472517405,False,0.472517405,,False,False
coarse,-750.000000,-150.000000,True,1.000000000,0.464030474,False,0.464030474,,False,False
coarse,-600.000000,-150.000000,True,1.000000000,0.410338833,False,0.410338833,,False,False
coarse,-450.000000,-150.000000,True,1.000000000,0.286109596,False,0.286109596,,False,False
coarse,-300.000000,-150.000000,True,1.000000000,0.123453520,False,0.123453520,,False,False
coarse,-150.000000,-150.000000,True,1.000000000,0.445386141,False,0.445386141,,False,False
coarse,0.000000,-150.000000,True,1.000000000,0.603169633,True,0.603169633,5.330315963,False,False
coarse,150.000000,-150.000000,True,1.000000000,0.674348507,True,0.674348507,5.433036093,False,False
coarse,300.000000,-150.000000,True,1.000000000,0.687545462,True,0.687545462,5.358603279,False,False
coarse,450.000000,-150.000000,True,0.971919979,0.679287059,True,0.660212665,5.079760065,False,False
coarse,600.000000,-150.000000,True,0.921043269,0.669295419,True,0.616450040,4.684960896,False,False
coarse,750.000000,-150.000000,True,0.830296035,0.668104125,True,0.554724206,4.126982448,False,False
coarse,900.000000,-150.000000,True,0.697326131,0.674417120,False,0.470288681,,False,False
coarse,1050.000000,-150.000000,True,0.541744825,0.682942602,False,0.369980621,,False,False
coarse,1200.000000,-150.000000,True,0.390666783,0.693515035,False,0.270933288,,False,False
coarse,1350.000000,-150.000000,True,0.252411708,0.704384878,False,0.177794990,,False,False
coarse,1500.000000,-150.000000,True,0.131957672,0.709803780,False,0.093664054,,False,False
coarse,1650.000000,-150.000000,True,0.031850897,0.725405810,False,0.023104826,,False,False
coarse,-1800.000000,0.000000,True,0.109792941,0.713668318,False,0.078355743,,False,False
coarse,-1650.000000,0.000000,True,0.231392899,0.701464220,False,0.162313839,,False,False
coarse,-1500.000000,0.000000,True,0.394530665,0.682377394,False,0.269218807,,False,False
coarse,-1350.000000,0.000000,True,0.582326883,0.660405035,False,0.384571606,,False,False
coarse,-1200.000000,0.000000,True,0.804802338,0.630655313,True,0.507552870,4.019474315,False,False
coarse,-1050.000000,0.000000,True,1.000000000,0.608509580,True,0.608509580,4.939777111,False,False
coarse,-900.000000,0.000000,True,1.000000000,0.623734319,True,0.623734319,5.118756945,False,False
coarse,-750.000000,0.000000,True,1.000000000,0.634050748,True,0.634050748,5.268797999,False,False
coarse,-600.000000,0.000000,True,1.000000000,0.626827466,True,0.626827466,5.355890843,False,False
coarse,-450.000000,0.000000,True,1.000000000,0.589331737,True,0.589331737,5.320499196,False,False
coarse,-300.000000,0.000000,True,1.000000000,0.488966647,False,0.488966647,,False,False
coarse,-150.000000,0.000000,True,1.000000000,0.251060312,False,0.251060312,,False,False
coarse,0.000000,0.000000,True,1.000000000,0.244825459,False,0.244825459,,False,False
coarse,150.000000,0.000000,True,1.000000000,0.457759955,False,0.457759955,,False,False
coarse,300.000000,0.000000,True,0.994261704,0.511298419,True,0.508364438,4.753452685,False,False
coarse,450.000000,0.000000,True,0.961626310,0.519238749,True,0.499313642,4.558622443,False,False
coarse,600.000000,0.000000,True,0.908855577,0.525097896,True,0.477238151,4.245772833,False,False
coarse,750.000000,0.000000,True,0.816152203,0.539430332,True,0.440257254,3.768199919,False,False
coarse,900.000000,0.000000,True,0.692304256,0.556851333,False,0.385510548,,False,False
coarse,1050.000000,0.000000,True,0.543729226,0.575746176,False,0.313050023,,False,False
coarse,1200.000000,0.000000,True,0.397931394,0.594751085,False,0.236670128,,False,False
coarse,1350.000000,0.000000,True,0.265220225,0.612652706,False,0.162487889,,False,False
coarse,1500.000000,0.000000,True,0.148218551,0.624585106,False,0.092575100,,False,False
coarse,1650.000000,0.000000,True,0.046206878,0.642165140,False,0.029672446,,False,False
coarse,1800.000000,0.000000,True,0.003405802,0.669768770,False,0.002281100,,False,False
coarse,-1650.000000,150.000000,True,0.197766571,0.781961817,False,0.154645907,,False,False
coarse,-1500.000000,150.000000,True,0.368252207,0.770378181,False,0.283693465,,False,False
coarse,-1350.000000,150.000000,True,0.564561225,0.754344475,False,0.425873641,,False,False
coarse,-1200.000000,150.000000,True,0.805120956,0.729417983,True,0.587269704,4.198462864,False,False
coarse,-1050.000000,150.000000,True,0.999550084,0.716578793,True,0.716256393,5.201638248,False,False
coarse,-900.000000,150.000000,True,1.000000000,0.739257299,True,0.739257299,5.388934657,False,False
coarse,-750.000000,150.000000,True,1.000000000,0.758640951,True,0.758640951,5.552398638,False,False
coarse,-600.000000,150.000000,True,1.000000000,0.767530289,True,0.767530289,5.682363650,False,False
coarse,-450.000000,150.000000,True,1.000000000,0.755981128,True,0.755981128,5.728673823,False,False
coarse,-300.000000,150.000000,True,1.000000000,0.707211301,True,0.707211301,5.639737990,False,False
coarse,-150.000000,150.000000,True,1.000000000,0.589219096,True,0.589219096,5.277556413,False,False
coarse,0.000000,150.000000,True,1.000000000,0.394642956,False,0.394642956,,False,False
coarse,150.000000,150.000000,True,1.000000000,0.087816695,False,0.087816695,,False,False
coarse,300.000000,150.000000,True,0.985365052,0.226012228,False,0.222704551,,False,False
coarse,450.000000,150.000000,True,0.946048808,0.296830900,False,0.280816519,,False,False
coarse,600.000000,150.000000,True,0.886765422,0.343801267,False,0.304871075,,False,False
coarse,750.000000,150.000000,True,0.790606918,0.386065052,False,0.305225701,,False,False
coarse,900.000000,150.000000,True,0.671229362,0.421838249,False,0.283150219,,False,False
coarse,1050.000000,150.000000,True,0.527510634,0.455376365,False,0.240215875,,False,False
coarse,1200.000000,150.000000,True,0.390039438,0.484947803,False,0.189148768,,False,False
coarse,1350.000000,150.000000,True,0.263426413,0.511956076,False,0.134862753,,False,False
coarse,1500.000000,150.000000,True,0.152359824,0.531342749,False,0.080955288,,False,False
coarse,1650.000000,150.000000,True,0.052621602,0.555270204,False,0.029219208,,False,False
coarse,-1650.000000,300.000000,True,0.149528288,0.850286464,False,0.127141879,,False,False
coarse,-1500.000000,300.000000,True,0.309341688,0.839792876,False,0.259782946,,False,False
coarse,-1350.000000,300.000000,True,0.515272851,0.831750860,False,0.428578637,,False,False
coarse,-1200.000000,300.000000,True,0.770960849,0.810963816,False,0.625221352,,False,False
coarse,-1050.000000,300.000000,True,0.993909416,0.800202152,True,0.795328454,5.335114384,False,False
coarse,-900.000000,300.000000,True,1.000000000,0.823792453,True,0.823792453,5.536048813,False,False
coarse,-750.000000,300.000000,True,1.000000000,0.844049553,True,0.844049553,5.695399669,False,False
coarse,-600.000000,300.000000,True,1.000000000,0.854525236,True,0.854525236,5.815558762,False,False
coarse,-450.000000,300.000000,True,1.000000000,0.846658957,True,0.846658957,5.863255451,False,False
coarse,-300.000000,300.000000,True,1.000000000,0.808160146,True,0.808160146,5.796898308,False,False
coarse,-150.000000,300.000000,True,1.000000000,0.724974124,True,0.724974124,5.567856300,False,False
coarse,0.000000,300.000000,True,1.000000000,0.590445450,True,0.590445450,5.115470695,False,False
coarse,150.000000,300.000000,True,0.991756149,0.399733540,False,0.396438197,,False,False
coarse,300.000000,300.000000,True,0.962790830,0.155227303,False,0.149451424,,False,False
coarse,450.000000,300.000000,True,0.919746674,0.038622624,False,0.035523030,,False,False
coarse,600.000000,300.000000,True,0.849584713,0.144111469,False,0.122434901,,False,False
coarse,750.000000,300.000000,True,0.753551017,0.219443253,False,0.165361687,,False,False
coarse,900.000000,300.000000,True,0.629896204,0.277682777,False,0.174911327,,False,False
coarse,1050.000000,300.000000,True,0.493213184,0.327351982,False,0.161454313,,False,False
coarse,1200.000000,300.000000,True,0.367267785,0.368293555,False,0.135262358,,False,False
coarse,1350.000000,300.000000,True,0.250648927,0.404056709,False,0.101276380,,False,False
coarse,1500.000000,300.000000,True,0.144590827,0.432511110,False,0.062537139,,False,False
coarse,1650.000000,300.000000,True,0.049927933,0.464152708,False,0.023174185,,False,False
coarse,-1650.000000,450.000000,True,0.094985537,0.905253961,False,0.085986034,,False,False
coarse,-1500.000000,450.000000,True,0.226452432,0.895342089,False,0.202752393,,False,False
coarse,-1350.000000,450.000000,True,0.419188576,0.889629749,False,0.372922628,,False,False
coarse,-1200.000000,450.000000,True,0.689527641,0.875747879,False,0.603852369,,False,False
coarse,-1050.000000,450.000000,True,0.958411774,0.864240254,True,0.828298035,5.242821975,False,False
coarse,-900.000000,450.000000,True,1.000000000,0.883020462,True,0.883020462,5.607872924,False,False
coarse,-750.000000,450.000000,True,1.000000000,0.899506809,True,0.899506809,5.747159912,False,False
coarse,-600.000000,450.000000,True,1.000000000,0.905526740,True,0.905526740,5.841153527,False,False
coarse,-450.000000,450.000000,True,1.000000000,0.893957749,True,0.893957749,5.872840121,False,False
coarse,-300.000000,450.000000,True,1.000000000,0.855985309,True,0.855985309,5.797746708,False,False
coarse,-150.000000,450.000000,True,1.000000000,0.782841356,True,0.782841356,5.610267889,False,False
coarse,0.000000,450.000000,True,0.992067111,0.671302934,True,0.665977562,5.232242982,False,False
